model_idx,code,feature_vectors
29,"""\nclass Model(nn.Module):\n    def __init__(self, input_size, num_classes):\n        super(Model, self).__init__()\n        self.fc1 = nn.Linear(input_size, 256)\n        self.fc2 = nn.Linear(256, 128)\n        self.fc3 = nn.Linear(128, 64)\n        self.shortcut = nn.Linear(input_size, 64)  # Residual connection\n        self.fc4 = nn.Linear(64, num_classes)\n        self.relu = nn.ReLU()\n\n    def forward(self, x):\n        residual = self.shortcut(x)\n        x = self.fc1(x)\n        x = self.relu(x)\n        x = self.fc2(x)\n        x = self.relu(x)\n        x = self.fc3(x) + residual\n        x = self.relu(x)\n        x = self.fc4(x)\n        return x\n\n""",
30,"""\nclass Model(nn.Module):\n    def __init__(self, input_size, num_classes):\n        super(Model, self).__init__()\n        self.fc1 = nn.Linear(input_size, 8)  \n        self.fc2 = nn.Linear(8, num_classes) \n        self.relu = nn.ReLU()                \n\n    def forward(self, x):\n        x = self.fc1(x)\n        x = self.relu(x)  # Apply ReLU after the first layer\n        x = self.fc2(x)             \n        return x\n\n""",
31,"""\nimport torch\nimport torch.nn as nn\n\nclass Model(nn.Module):\n    def __init__(self, input_size, num_classes):\n        super(Model, self).__init__()\n        layers = []\n        in_features = input_size\n        layers.append(nn.Linear(in_features, 256))\n        layers.append(nn.ReLU())\n        layers.append(nn.Linear(256, 128))\n        layers.append(nn.Linear(128, 128))\n        layers.append(nn.ReLU())\n        layers.append(nn.Linear(128, 256))\n        layers.append(nn.Linear(256, num_classes))\n        self.model = nn.Sequential(*layers)\n\n    def forward(self, x):\n        return self.model(x)\n""",
32,"""\nimport torch\nimport torch.nn as nn\n\nclass Model(nn.Module):\n    def __init__(self, input_size, num_classes):\n        super(Model, self).__init__()\n        layers = []\n        in_features = input_size\n        layers.append(nn.Linear(in_features, 64))\n        layers.append(nn.ReLU())\n        layers.append(nn.Linear(64, 32))\n        layers.append(nn.Linear(32, 64))\n        layers.append(nn.ReLU())\n        layers.append(nn.Linear(64, 128))\n        layers.append(nn.Linear(128, num_classes))\n        self.model = nn.Sequential(*layers)\n\n    def forward(self, x):\n        return self.model(x)\n""",
33,"""\nclass Model(nn.Module):\n    def __init__(self, input_size, num_classes):\n        super(Model, self).__init__()\n        self.layer1 = ResidualBlock(input_size, 64)\n        self.layer2 = ResidualBlock(64, 128)\n        self.layer3 = ResidualBlock(128, 256)\n        self.layer4 = ResidualBlock(256, 512)\n        self.fc = nn.Linear(512, num_classes)\n\n    def forward(self, x):\n        x = self.layer1(x)\n        x = self.layer2(x)\n        x = self.layer3(x)\n        x = self.layer4(x)\n        return self.fc(x)\n        \nclass ResidualBlock(nn.Module):\n    def __init__(self, in_features, out_features):\n        super(ResidualBlock, self).__init__()\n        self.fc = nn.Sequential(\n            nn.Linear(in_features, out_features),\n            nn.ReLU(),\n            nn.Linear(out_features, out_features)\n        )\n        self.shortcut = nn.Linear(in_features, out_features) if in_features != out_features else nn.Identity()\n\n    def forward(self, x):\n        return nn.ReLU()(self.fc(x) + self.shortcut(x))\n\n""",
34,"""\nimport torch\nimport torch.nn as nn\n\nclass ResidualBlock(nn.Module):\n    def __init__(self, in_features, out_features):\n        super(ResidualBlock, self).__init__()\n        self.fc = nn.Sequential(\n            nn.Linear(in_features, out_features),\n            nn.ReLU(),\n            nn.Linear(out_features, out_features)\n        )\n        self.shortcut = nn.Linear(in_features, out_features) if in_features != out_features else nn.Identity()\n\n    def forward(self, x):\n        return nn.ReLU()(self.fc(x) + self.shortcut(x))\n\nclass Model(nn.Module):\n    def __init__(self, input_size, num_classes):\n        super(Model, self).__init__()\n        self.layer1 = ResidualBlock(input_size, 64)\n        self.layer2 = ResidualBlock(64, 128)\n        self.fc = nn.Linear(128, num_classes)\n\n    def forward(self, x):\n        x = self.layer1(x)\n        x = self.layer2(x)\n        return self.fc(x)\n\n""",
35,"""\nclass Model(nn.Module):\n    def __init__(self, input_size, num_classes):\n        super(Model, self).__init__()\n        self.layer1 = ResidualBlock(input_size, 128)\n        self.layer2 = ResidualBlock(128, 256)\n        self.layer3 = ResidualBlock(256, 512)\n        self.fc = nn.Linear(512, num_classes)\n\n    def forward(self, x):\n        x = self.layer1(x)\n        x = self.layer2(x)\n        x = self.layer3(x)\n        return self.fc(x)\n\n""",
36,"""\nclass BottleneckBlock(nn.Module):\n    def __init__(self, in_features, bottleneck_size, out_features):\n        super(BottleneckBlock, self).__init__()\n        self.fc = nn.Sequential(\n            nn.Linear(in_features, bottleneck_size),\n            nn.ReLU(),\n            nn.Linear(bottleneck_size, out_features)\n        )\n        self.shortcut = nn.Linear(in_features, out_features) if in_features != out_features else nn.Identity()\n\n    def forward(self, x):\n        return nn.ReLU()(self.fc(x) + self.shortcut(x))\n\nclass Model(nn.Module):\n    def __init__(self, input_size, num_classes):\n        super(Model, self).__init__()\n        self.layer1 = BottleneckBlock(input_size, 32, 128)\n        self.layer2 = BottleneckBlock(128, 64, 256)\n        self.layer3 = BottleneckBlock(256, 128, 512)\n        self.fc = nn.Linear(512, num_classes)\n\n    def forward(self, x):\n        x = self.layer1(x)\n        x = self.layer2(x)\n        x = self.layer3(x)\n        return self.fc(x)\n\n""",
37,"""\nclass ResidualDenseBlock(nn.Module):\n    def __init__(self, in_features, out_features):\n        super(ResidualDenseBlock, self).__init__()\n        self.fc1 = nn.Linear(in_features, out_features)\n        self.fc2 = nn.Linear(out_features, out_features)\n        self.shortcut = nn.Linear(in_features, out_features) if in_features != out_features else nn.Identity()\n\n    def forward(self, x):\n        return nn.ReLU()(self.fc2(nn.ReLU()(self.fc1(x))) + self.shortcut(x))\n\nclass Model(nn.Module):\n    def __init__(self, input_size, num_classes):\n        super(Model, self).__init__()\n        self.layer1 = ResidualDenseBlock(input_size, 128)\n        self.layer2 = ResidualDenseBlock(128, 256)\n        self.fc = nn.Linear(256, num_classes)\n\n    def forward(self, x):\n        x = self.layer1(x)\n        x = self.layer2(x)\n        return self.fc(x)\n\n""",
38,"""\nclass Model(nn.Module):\n    def __init__(self, input_size, num_classes):\n        super(Model, self).__init__()\n        self.layer1 = ResidualBlock(input_size, 128)\n        self.dropout = nn.Dropout(0.5)\n        self.layer2 = ResidualBlock(128, 256)\n        self.fc = nn.Linear(256, num_classes)\n\n    def forward(self, x):\n        x = self.layer1(x)\n        x = self.dropout(x)\n        x = self.layer2(x)\n        return self.fc(x)\n\n""",
39,"""\nclass Model(nn.Module):\n    def __init__(self, input_size, num_classes):\n        super(Model, self).__init__()\n        self.layer1 = ResidualBlock(input_size, 128)\n        self.norm = nn.LayerNorm(128)\n        self.layer2 = ResidualBlock(128, 256)\n        self.fc = nn.Linear(256, num_classes)\n\n    def forward(self, x):\n        x = self.norm(self.layer1(x))\n        x = self.layer2(x)\n        return self.fc(x)\n\n""",
40,"""\nclass Model(nn.Module):\n    def __init__(self, input_size, num_classes):\n        super(Model, self).__init__()\n        self.layer1 = ResidualBlock(input_size, 32)\n        self.layer2 = ResidualBlock(32, 64)\n        self.fc = nn.Linear(64, num_classes)\n\n    def forward(self, x):\n        x = self.layer1(x)\n        x = self.layer2(x)\n        return self.fc(x)\n\n""",
41,"""\nclass Model(nn.Module):\n    def __init__(self, input_size, num_classes):\n        super(Model, self).__init__()\n        self.layer_1 = nn.Linear(input_size, 256)\n        self.layer_3 = nn.Linear(256, 128)\n        self.layer_4 = nn.Linear(128, 64)\n        self.final_layer = nn.Linear(64, num_classes)\n        self.activation = nn.ReLU()\n\n    def forward(self, input_data):\n        out = self.layer_1(input_data)\n        out = self.activation(out)\n        \n        out = self.layer_3(out)\n        out = self.activation(out)\n        \n        out = self.layer_4(out)\n        out = self.final_layer(out)\n        return out\n\n""",
42,"""\nclass Model(nn.Module):\n    def __init__(self, input_size, num_classes):\n        super(Model, self).__init__()\n        self.fc1 = nn.Linear(input_size, 512)\n        self.fc2 = nn.BatchNorm1d(512)\n        self.fc3 = nn.Linear(512, 256)\n        self.fc4 = nn.LayerNorm(256)\n        self.fc5 = nn.Linear(256, 128)\n        self.fc6 = nn.BatchNorm1d(128)\n        self.fc7 = nn.Linear(128, 64)\n        self.fc8 = nn.Linear(64, num_classes)\n        self.relu = nn.ReLU()\n        self.dropout = nn.Dropout(p=0.4)\n\n    def forward(self, x):\n        x = self.relu(self.fc2(self.fc1(x)))\n        x = self.dropout(x)\n        x = self.relu(self.fc4(self.fc3(x)))\n        x = self.dropout(x)\n        x = self.relu(self.fc6(self.fc5(x)))\n        x = self.fc7(x)\n        x = self.fc8(x)\n        return x\n""",
43,"""\nclass Model(nn.Module):  # Model with dropout regularization\n    def __init__(self, input_size, num_classes):\n        super(Model, self).__init__()\n        \n        self.fc1 = nn.Linear(input_size, 256)\n        self.fc2 = nn.Linear(256, 128)\n        self.fc3 = nn.Linear(128, 32)\n        self.fc4 = nn.Linear(32, num_classes)\n        \n        self.activation_function = nn.Tanh()\n\n    def forward(self, data):\n        output = self.fc1(data)\n        output = self.activation_function(output)\n        \n        output = self.fc2(output)\n        output = self.activation_function(output)\n        \n        output = self.activation_function(self.fc3(output))\n\n        output = self.fc4(output)\n        return output\n""",
44,"""\nclass Model(nn.Module):\n    def __init__(self, input_size, num_classes):\n        super(Model, self).__init__()\n        # A random comment here trying to confuse codeBERT\n        self.fc1 = nn.Linear(input_size, 1024)\n        self.fc2 = nn.Linear(1024, 512)\n        self.fc3 = nn.Linear(512, num_classes)\n        self.relu = nn.ReLU()\n\n    def forward(self, x):\n        x = self.relu(self.fc1(x))\n        \n        x = self.fc2(x)\n        x = self.relu(x)\n        \n        x = self.fc3(x)\n        return x\n\n""",
